customer_id,predicted_cltv,horizon_months
USER_006970,950.29565,12
USER_001822,2197.3118,12
USER_006504,772.0195,12
USER_009227,760.125,12
USER_008415,612.7185,12
USER_000214,4248.6187,12
USER_005832,1052.7095,12
USER_002408,2173.5066,12
USER_008561,147.58359,12
USER_004517,109.68573,12
USER_003656,615.0889,12
USER_009510,208.1127,12
USER_009368,1648.3522,12
USER_002754,3099.6252,12
USER_000177,2829.519,12
USER_007225,289.2953,12
USER_008783,440.95282,12
USER_005390,1721.1969,12
USER_009939,351.43234,12
USER_003555,1080.4376,12
USER_008681,495.10336,12
USER_007952,1823.9293,12
USER_008853,855.0499,12
USER_002265,395.1984,12
USER_008982,324.5311,12
USER_009572,1148.5023,12
USER_003535,2023.3303,12
USER_006147,942.63464,12
USER_006402,1530.3601,12
USER_009137,1173.8705,12
USER_007990,1488.3647,12
USER_001998,2466.2935,12
USER_006613,231.20897,12
USER_000370,2346.3682,12
USER_007075,1470.5267,12
USER_003704,2554.732,12
USER_004434,354.57217,12
USER_002830,1681.1005,12
USER_007701,1089.4945,12
USER_000194,1523.7164,12
USER_006662,706.59106,12
USER_007462,1160.5826,12
USER_005945,662.323,12
USER_001631,4248.9336,12
USER_003404,1409.4353,12
USER_000173,5127.8965,12
USER_000186,3097.7249,12
USER_003721,1494.5782,12
USER_000917,2713.2395,12
USER_009898,505.81152,12
USER_006779,595.4666,12
USER_009786,2366.3625,12
USER_004103,163.50719,12
USER_007552,1087.0983,12
USER_005614,110.284706,12
USER_003497,795.27563,12
USER_009095,1007.72815,12
USER_003962,496.2165,12
USER_003862,86.51305,12
USER_001516,2064.4487,12
USER_009379,1590.417,12
USER_005673,166.86307,12
USER_009200,1599.3738,12
USER_006217,855.83203,12
USER_005607,1462.1968,12
USER_003661,282.26404,12
USER_000521,2300.094,12
USER_002357,3730.3552,12
USER_006178,527.1783,12
USER_009255,2164.113,12
USER_005068,1644.956,12
USER_001156,508.09128,12
USER_000794,3292.3777,12
USER_009292,2906.2173,12
USER_003338,968.0494,12
USER_001988,1466.9427,12
USER_000832,3752.4072,12
USER_000116,3834.288,12
USER_003510,394.49814,12
USER_004785,351.89755,12
USER_003121,1981.5126,12
USER_006192,215.80244,12
USER_002906,143.40988,12
USER_009129,2108.14,12
USER_008118,2775.3757,12
USER_003954,266.35065,12
USER_001936,3259.3481,12
USER_001186,2788.8857,12
USER_005290,1535.7886,12
USER_001356,1992.3387,12
USER_000150,3962.958,12
USER_002751,1162.9131,12
USER_004161,3149.0596,12
USER_000192,4214.2085,12
USER_002133,570.60956,12
USER_002118,1910.1753,12
USER_007387,1343.2024,12
USER_003340,705.3615,12
USER_006668,1764.5997,12
USER_002362,1402.3037,12
USER_003442,1050.5906,12
USER_009352,1148.3331,12
USER_005717,3791.1318,12
USER_008372,999.9691,12
USER_007854,473.0127,12
USER_007819,1911.2292,12
USER_006891,874.37854,12
USER_004593,1163.0193,12
USER_002911,2230.4712,12
USER_002793,899.262,12
USER_007580,371.83014,12
USER_008307,253.45398,12
USER_006434,2285.5283,12
USER_001489,3040.309,12
USER_006673,532.1786,12
USER_008094,1282.7323,12
USER_008232,708.98175,12
USER_003385,1168.21,12
USER_001284,2378.9414,12
USER_003397,1777.345,12
USER_001739,3906.2585,12
USER_000127,1320.884,12
USER_004713,1265.4458,12
USER_007246,410.21948,12
USER_008237,2288.1218,12
USER_003929,721.42084,12
USER_001020,1724.472,12
USER_004755,569.165,12
USER_009847,2518.966,12
USER_001797,2044.2058,12
USER_002787,2068.9302,12
USER_003529,682.3021,12
USER_000101,1668.6722,12
USER_003193,278.0727,12
USER_005366,187.03354,12
USER_003498,793.4269,12
USER_007229,2212.1982,12
USER_002708,2604.2073,12
USER_004580,231.38513,12
USER_006055,821.9042,12
USER_001649,3536.6895,12
USER_008268,638.79,12
USER_006015,2320.204,12
USER_002129,2223.6978,12
USER_009289,1665.2615,12
USER_006429,300.49942,12
USER_006977,820.5853,12
